gameId,eventId,eventType,eventTypeDesc,period,periodTime,periodType,goalsHome,goalsAway,coX,coY,player1Id,player1Type,player2Id,player2Type,player3Id,player3Type,player4Id,player4Type
2019020406,293,Goal,"Alex Ovechkin (20) Wrist Shot, assists: none",3,19:05,REGULAR,2,5,80.0,0.0,8471214,Scorer,0,0,0.0,0,0.0,0
2019020469,247,Goal,"Alex Ovechkin (21) Backhand, assists: Dmitry Orlov (11), Nicklas Backstrom (15)",3,00:40,REGULAR,1,2,78.0,-5.0,8471214,Scorer,8475200,Assist,8473563.0,Assist,8476914.0,Goalie
2019020002,66,Goal,"Alex Ovechkin (1) Snap Shot, assists: John Carlson (1), Lars Eller (1)",1,15:37,REGULAR,2,1,57.0,-18.0,8471214,Scorer,8474590,Assist,8474189.0,Assist,8476412.0,Goalie
2019020052,124,Goal,"Alex Ovechkin (2) Slap Shot, assists: John Carlson (6), Evgeny Kuznetsov (1)",2,04:46,REGULAR,1,2,53.0,22.0,8471214,Scorer,8474590,Assist,8475744.0,Assist,8471469.0,Goalie
2019020052,183,Goal,"Alex Ovechkin (3) Slap Shot, assists: John Carlson (7), Nicklas Backstrom (3)",2,17:36,REGULAR,2,4,60.0,20.0,8471214,Scorer,8474590,Assist,8473563.0,Assist,8471469.0,Goalie
2019020070,326,Goal,"Alex Ovechkin (4) Backhand, assists: Tom Wilson (2)",3,19:03,REGULAR,1,4,4.0,-34.0,8471214,Scorer,8476880,Assist,0.0,0,0.0,0
2019020083,312,Goal,"Alex Ovechkin (5) Slap Shot, assists: Evgeny Kuznetsov (3), John Carlson (9)",3,17:39,REGULAR,3,5,34.0,-7.0,8471214,Scorer,8475744,Assist,8474590.0,Assist,8475831.0,Goalie
2019020126,247,Goal,"Alex Ovechkin (6) Wrist Shot, assists: John Carlson (15), Michal Kempny (1)",3,03:52,REGULAR,1,3,61.0,10.0,8471214,Scorer,8474590,Assist,8479482.0,Assist,8470645.0,Goalie
2019020142,195,Goal,"Alex Ovechkin (7) Snap Shot, assists: Nicklas Backstrom (7), Radko Gudas (3)",2,16:35,REGULAR,2,3,63.0,19.0,8471214,Scorer,8473563,Assist,8475462.0,Assist,8475660.0,Goalie
2019020154,155,Goal,"Alex Ovechkin (8) Tip-In, assists: Jonas Siegenthaler (2), John Carlson (16)",2,06:27,REGULAR,1,2,68.0,11.0,8471214,Scorer,8478399,Assist,8474590.0,Assist,8475156.0,Goalie
2019020154,197,Goal,"Alex Ovechkin (9) Snap Shot, assists: Tom Wilson (3), Jakub Vrana (3)",2,13:40,REGULAR,1,3,73.0,13.0,8471214,Scorer,8476880,Assist,8477944.0,Assist,8475156.0,Goalie
2019020180,242,Goal,"Alex Ovechkin (10) Snap Shot, assists: T.J. Oshie (4), Nicklas Backstrom (10)",3,04:10,REGULAR,3,3,81.0,8.0,8471214,Scorer,8471698,Assist,8473563.0,Assist,8475883.0,Goalie
2019020180,353,Goal,"Alex Ovechkin (11) Slap Shot, assists: Dmitry Orlov (5), Jakub Vrana (5)",4,04:00,OVERTIME,3,4,57.0,23.0,8471214,Scorer,8475200,Assist,8477944.0,Assist,8475883.0,Goalie
2019020238,129,Goal,"Alex Ovechkin (12) Wrist Shot, assists: Evgeny Kuznetsov (7), John Carlson (17)",2,06:13,REGULAR,3,2,72.0,19.0,8471214,Scorer,8475744,Assist,8474590.0,Assist,8475683.0,Goalie
2019020238,165,Goal,"Alex Ovechkin (13) Tip-In, assists: Dmitry Orlov (6), Nicklas Backstrom (11)",2,12:14,REGULAR,3,3,71.0,30.0,8471214,Scorer,8475200,Assist,8473563.0,Assist,8475683.0,Goalie
2019020296,271,Goal,"Alex Ovechkin (14) Snap Shot, assists: John Carlson (23), Nicklas Backstrom (12)",3,05:34,REGULAR,1,4,53.0,24.0,8471214,Scorer,8474590,Assist,8473563.0,Assist,8471679.0,Goalie
2019020316,143,Goal,"Alex Ovechkin (15) Wrist Shot, assists: Evgeny Kuznetsov (12), John Carlson (25)",2,06:39,REGULAR,2,0,70.0,22.0,8471214,Scorer,8475744,Assist,8474590.0,Assist,8476434.0,Goalie
2019020383,79,Goal,"Alex Ovechkin (16) Wrist Shot, assists: Evgeny Kuznetsov (13)",1,17:57,REGULAR,1,0,69.0,-4.0,8471214,Scorer,8475744,Assist,8475683.0,Goalie,0.0,0
2019020398,309,Goal,"Alex Ovechkin (17) Slap Shot, assists: Dmitry Orlov (8), Travis Boyd (6)",3,11:36,REGULAR,3,3,55.0,28.0,8471214,Scorer,8475200,Assist,8476329.0,Assist,8476883.0,Goalie
2019020406,146,Goal,"Alex Ovechkin (18) Wrist Shot, assists: John Carlson (29), Evgeny Kuznetsov (16)",2,09:21,REGULAR,1,2,80.0,15.0,8471214,Scorer,8474590,Assist,8475744.0,Assist,8473541.0,Goalie
2019020406,286,Goal,"Alex Ovechkin (19) Snap Shot, assists: T.J. Oshie (9), Radko Gudas (7)",3,18:25,REGULAR,2,4,81.0,1.0,8471214,Scorer,8471698,Assist,8475462.0,Assist,0.0,0
2019020406,293,Goal,"Alex Ovechkin (20) Wrist Shot, assists: none",3,19:05,REGULAR,2,5,80.0,0.0,8471214,Scorer,0,0,0.0,0,0.0,0
2019020469,247,Goal,"Alex Ovechkin (21) Backhand, assists: Dmitry Orlov (11), Nicklas Backstrom (15)",3,00:40,REGULAR,1,2,78.0,-5.0,8471214,Scorer,8475200,Assist,8473563.0,Assist,8476914.0,Goalie
2019020002,66,Goal,"Alex Ovechkin (1) Snap Shot, assists: John Carlson (1), Lars Eller (1)",1,15:37,REGULAR,2,1,57.0,-18.0,8471214,Scorer,8474590,Assist,8474189.0,Assist,8476412.0,Goalie
2019020052,124,Goal,"Alex Ovechkin (2) Slap Shot, assists: John Carlson (6), Evgeny Kuznetsov (1)",2,04:46,REGULAR,1,2,53.0,22.0,8471214,Scorer,8474590,Assist,8475744.0,Assist,8471469.0,Goalie
2019020052,183,Goal,"Alex Ovechkin (3) Slap Shot, assists: John Carlson (7), Nicklas Backstrom (3)",2,17:36,REGULAR,2,4,60.0,20.0,8471214,Scorer,8474590,Assist,8473563.0,Assist,8471469.0,Goalie
2019020070,326,Goal,"Alex Ovechkin (4) Backhand, assists: Tom Wilson (2)",3,19:03,REGULAR,1,4,4.0,-34.0,8471214,Scorer,8476880,Assist,0.0,0,0.0,0
2019020083,312,Goal,"Alex Ovechkin (5) Slap Shot, assists: Evgeny Kuznetsov (3), John Carlson (9)",3,17:39,REGULAR,3,5,34.0,-7.0,8471214,Scorer,8475744,Assist,8474590.0,Assist,8475831.0,Goalie
2019020126,247,Goal,"Alex Ovechkin (6) Wrist Shot, assists: John Carlson (15), Michal Kempny (1)",3,03:52,REGULAR,1,3,61.0,10.0,8471214,Scorer,8474590,Assist,8479482.0,Assist,8470645.0,Goalie
2019020142,195,Goal,"Alex Ovechkin (7) Snap Shot, assists: Nicklas Backstrom (7), Radko Gudas (3)",2,16:35,REGULAR,2,3,63.0,19.0,8471214,Scorer,8473563,Assist,8475462.0,Assist,8475660.0,Goalie
2019020154,155,Goal,"Alex Ovechkin (8) Tip-In, assists: Jonas Siegenthaler (2), John Carlson (16)",2,06:27,REGULAR,1,2,68.0,11.0,8471214,Scorer,8478399,Assist,8474590.0,Assist,8475156.0,Goalie
2019020154,197,Goal,"Alex Ovechkin (9) Snap Shot, assists: Tom Wilson (3), Jakub Vrana (3)",2,13:40,REGULAR,1,3,73.0,13.0,8471214,Scorer,8476880,Assist,8477944.0,Assist,8475156.0,Goalie
2019020180,242,Goal,"Alex Ovechkin (10) Snap Shot, assists: T.J. Oshie (4), Nicklas Backstrom (10)",3,04:10,REGULAR,3,3,81.0,8.0,8471214,Scorer,8471698,Assist,8473563.0,Assist,8475883.0,Goalie
2019020180,353,Goal,"Alex Ovechkin (11) Slap Shot, assists: Dmitry Orlov (5), Jakub Vrana (5)",4,04:00,OVERTIME,3,4,57.0,23.0,8471214,Scorer,8475200,Assist,8477944.0,Assist,8475883.0,Goalie
2019020238,129,Goal,"Alex Ovechkin (12) Wrist Shot, assists: Evgeny Kuznetsov (7), John Carlson (17)",2,06:13,REGULAR,3,2,72.0,19.0,8471214,Scorer,8475744,Assist,8474590.0,Assist,8475683.0,Goalie
2019020238,165,Goal,"Alex Ovechkin (13) Tip-In, assists: Dmitry Orlov (6), Nicklas Backstrom (11)",2,12:14,REGULAR,3,3,71.0,30.0,8471214,Scorer,8475200,Assist,8473563.0,Assist,8475683.0,Goalie
2019020296,271,Goal,"Alex Ovechkin (14) Snap Shot, assists: John Carlson (23), Nicklas Backstrom (12)",3,05:34,REGULAR,1,4,53.0,24.0,8471214,Scorer,8474590,Assist,8473563.0,Assist,8471679.0,Goalie
2019020316,143,Goal,"Alex Ovechkin (15) Wrist Shot, assists: Evgeny Kuznetsov (12), John Carlson (25)",2,06:39,REGULAR,2,0,70.0,22.0,8471214,Scorer,8475744,Assist,8474590.0,Assist,8476434.0,Goalie
2019020383,79,Goal,"Alex Ovechkin (16) Wrist Shot, assists: Evgeny Kuznetsov (13)",1,17:57,REGULAR,1,0,69.0,-4.0,8471214,Scorer,8475744,Assist,8475683.0,Goalie,0.0,0
2019020398,309,Goal,"Alex Ovechkin (17) Slap Shot, assists: Dmitry Orlov (8), Travis Boyd (6)",3,11:36,REGULAR,3,3,55.0,28.0,8471214,Scorer,8475200,Assist,8476329.0,Assist,8476883.0,Goalie
2019020406,146,Goal,"Alex Ovechkin (18) Wrist Shot, assists: John Carlson (29), Evgeny Kuznetsov (16)",2,09:21,REGULAR,1,2,80.0,15.0,8471214,Scorer,8474590,Assist,8475744.0,Assist,8473541.0,Goalie
2019020406,286,Goal,"Alex Ovechkin (19) Snap Shot, assists: T.J. Oshie (9), Radko Gudas (7)",3,18:25,REGULAR,2,4,81.0,1.0,8471214,Scorer,8471698,Assist,8475462.0,Assist,0.0,0
2019020406,293,Goal,"Alex Ovechkin (20) Wrist Shot, assists: none",3,19:05,REGULAR,2,5,80.0,0.0,8471214,Scorer,0,0,0.0,0,0.0,0
2019020469,247,Goal,"Alex Ovechkin (21) Backhand, assists: Dmitry Orlov (11), Nicklas Backstrom (15)",3,00:40,REGULAR,1,2,78.0,-5.0,8471214,Scorer,8475200,Assist,8473563.0,Assist,8476914.0,Goalie
2019020002,66,Goal,"Alex Ovechkin (1) Snap Shot, assists: John Carlson (1), Lars Eller (1)",1,15:37,REGULAR,2,1,57.0,-18.0,8471214,Scorer,8474590,Assist,8474189.0,Assist,8476412.0,Goalie
2019020052,124,Goal,"Alex Ovechkin (2) Slap Shot, assists: John Carlson (6), Evgeny Kuznetsov (1)",2,04:46,REGULAR,1,2,53.0,22.0,8471214,Scorer,8474590,Assist,8475744.0,Assist,8471469.0,Goalie
2019020052,183,Goal,"Alex Ovechkin (3) Slap Shot, assists: John Carlson (7), Nicklas Backstrom (3)",2,17:36,REGULAR,2,4,60.0,20.0,8471214,Scorer,8474590,Assist,8473563.0,Assist,8471469.0,Goalie
2019020070,326,Goal,"Alex Ovechkin (4) Backhand, assists: Tom Wilson (2)",3,19:03,REGULAR,1,4,4.0,-34.0,8471214,Scorer,8476880,Assist,0.0,0,0.0,0
2019020083,312,Goal,"Alex Ovechkin (5) Slap Shot, assists: Evgeny Kuznetsov (3), John Carlson (9)",3,17:39,REGULAR,3,5,34.0,-7.0,8471214,Scorer,8475744,Assist,8474590.0,Assist,8475831.0,Goalie
2019020126,247,Goal,"Alex Ovechkin (6) Wrist Shot, assists: John Carlson (15), Michal Kempny (1)",3,03:52,REGULAR,1,3,61.0,10.0,8471214,Scorer,8474590,Assist,8479482.0,Assist,8470645.0,Goalie
2019020142,195,Goal,"Alex Ovechkin (7) Snap Shot, assists: Nicklas Backstrom (7), Radko Gudas (3)",2,16:35,REGULAR,2,3,63.0,19.0,8471214,Scorer,8473563,Assist,8475462.0,Assist,8475660.0,Goalie
2019020154,155,Goal,"Alex Ovechkin (8) Tip-In, assists: Jonas Siegenthaler (2), John Carlson (16)",2,06:27,REGULAR,1,2,68.0,11.0,8471214,Scorer,8478399,Assist,8474590.0,Assist,8475156.0,Goalie
2019020154,197,Goal,"Alex Ovechkin (9) Snap Shot, assists: Tom Wilson (3), Jakub Vrana (3)",2,13:40,REGULAR,1,3,73.0,13.0,8471214,Scorer,8476880,Assist,8477944.0,Assist,8475156.0,Goalie
2019020180,242,Goal,"Alex Ovechkin (10) Snap Shot, assists: T.J. Oshie (4), Nicklas Backstrom (10)",3,04:10,REGULAR,3,3,81.0,8.0,8471214,Scorer,8471698,Assist,8473563.0,Assist,8475883.0,Goalie
2019020180,353,Goal,"Alex Ovechkin (11) Slap Shot, assists: Dmitry Orlov (5), Jakub Vrana (5)",4,04:00,OVERTIME,3,4,57.0,23.0,8471214,Scorer,8475200,Assist,8477944.0,Assist,8475883.0,Goalie
2019020238,129,Goal,"Alex Ovechkin (12) Wrist Shot, assists: Evgeny Kuznetsov (7), John Carlson (17)",2,06:13,REGULAR,3,2,72.0,19.0,8471214,Scorer,8475744,Assist,8474590.0,Assist,8475683.0,Goalie
2019020238,165,Goal,"Alex Ovechkin (13) Tip-In, assists: Dmitry Orlov (6), Nicklas Backstrom (11)",2,12:14,REGULAR,3,3,71.0,30.0,8471214,Scorer,8475200,Assist,8473563.0,Assist,8475683.0,Goalie
2019020296,271,Goal,"Alex Ovechkin (14) Snap Shot, assists: John Carlson (23), Nicklas Backstrom (12)",3,05:34,REGULAR,1,4,53.0,24.0,8471214,Scorer,8474590,Assist,8473563.0,Assist,8471679.0,Goalie
2019020316,143,Goal,"Alex Ovechkin (15) Wrist Shot, assists: Evgeny Kuznetsov (12), John Carlson (25)",2,06:39,REGULAR,2,0,70.0,22.0,8471214,Scorer,8475744,Assist,8474590.0,Assist,8476434.0,Goalie
2019020383,79,Goal,"Alex Ovechkin (16) Wrist Shot, assists: Evgeny Kuznetsov (13)",1,17:57,REGULAR,1,0,69.0,-4.0,8471214,Scorer,8475744,Assist,8475683.0,Goalie,0.0,0
2019020398,309,Goal,"Alex Ovechkin (17) Slap Shot, assists: Dmitry Orlov (8), Travis Boyd (6)",3,11:36,REGULAR,3,3,55.0,28.0,8471214,Scorer,8475200,Assist,8476329.0,Assist,8476883.0,Goalie
2019020406,146,Goal,"Alex Ovechkin (18) Wrist Shot, assists: John Carlson (29), Evgeny Kuznetsov (16)",2,09:21,REGULAR,1,2,80.0,15.0,8471214,Scorer,8474590,Assist,8475744.0,Assist,8473541.0,Goalie
2019020406,286,Goal,"Alex Ovechkin (19) Snap Shot, assists: T.J. Oshie (9), Radko Gudas (7)",3,18:25,REGULAR,2,4,81.0,1.0,8471214,Scorer,8471698,Assist,8475462.0,Assist,0.0,0
2019020406,293,Goal,"Alex Ovechkin (20) Wrist Shot, assists: none",3,19:05,REGULAR,2,5,80.0,0.0,8471214,Scorer,0,0,0.0,0,0.0,0
2019020469,247,Goal,"Alex Ovechkin (21) Backhand, assists: Dmitry Orlov (11), Nicklas Backstrom (15)",3,00:40,REGULAR,1,2,78.0,-5.0,8471214,Scorer,8475200,Assist,8473563.0,Assist,8476914.0,Goalie
2019020002,66,Goal,"Alex Ovechkin (1) Snap Shot, assists: John Carlson (1), Lars Eller (1)",1,15:37,REGULAR,2,1,57.0,-18.0,8471214,Scorer,8474590,Assist,8474189.0,Assist,8476412.0,Goalie
2019020052,124,Goal,"Alex Ovechkin (2) Slap Shot, assists: John Carlson (6), Evgeny Kuznetsov (1)",2,04:46,REGULAR,1,2,53.0,22.0,8471214,Scorer,8474590,Assist,8475744.0,Assist,8471469.0,Goalie
2019020052,183,Goal,"Alex Ovechkin (3) Slap Shot, assists: John Carlson (7), Nicklas Backstrom (3)",2,17:36,REGULAR,2,4,60.0,20.0,8471214,Scorer,8474590,Assist,8473563.0,Assist,8471469.0,Goalie
2019020070,326,Goal,"Alex Ovechkin (4) Backhand, assists: Tom Wilson (2)",3,19:03,REGULAR,1,4,4.0,-34.0,8471214,Scorer,8476880,Assist,0.0,0,0.0,0
2019020083,312,Goal,"Alex Ovechkin (5) Slap Shot, assists: Evgeny Kuznetsov (3), John Carlson (9)",3,17:39,REGULAR,3,5,34.0,-7.0,8471214,Scorer,8475744,Assist,8474590.0,Assist,8475831.0,Goalie
2019020126,247,Goal,"Alex Ovechkin (6) Wrist Shot, assists: John Carlson (15), Michal Kempny (1)",3,03:52,REGULAR,1,3,61.0,10.0,8471214,Scorer,8474590,Assist,8479482.0,Assist,8470645.0,Goalie
2019020142,195,Goal,"Alex Ovechkin (7) Snap Shot, assists: Nicklas Backstrom (7), Radko Gudas (3)",2,16:35,REGULAR,2,3,63.0,19.0,8471214,Scorer,8473563,Assist,8475462.0,Assist,8475660.0,Goalie
2019020154,155,Goal,"Alex Ovechkin (8) Tip-In, assists: Jonas Siegenthaler (2), John Carlson (16)",2,06:27,REGULAR,1,2,68.0,11.0,8471214,Scorer,8478399,Assist,8474590.0,Assist,8475156.0,Goalie
2019020154,197,Goal,"Alex Ovechkin (9) Snap Shot, assists: Tom Wilson (3), Jakub Vrana (3)",2,13:40,REGULAR,1,3,73.0,13.0,8471214,Scorer,8476880,Assist,8477944.0,Assist,8475156.0,Goalie
2019020180,242,Goal,"Alex Ovechkin (10) Snap Shot, assists: T.J. Oshie (4), Nicklas Backstrom (10)",3,04:10,REGULAR,3,3,81.0,8.0,8471214,Scorer,8471698,Assist,8473563.0,Assist,8475883.0,Goalie
2019020180,353,Goal,"Alex Ovechkin (11) Slap Shot, assists: Dmitry Orlov (5), Jakub Vrana (5)",4,04:00,OVERTIME,3,4,57.0,23.0,8471214,Scorer,8475200,Assist,8477944.0,Assist,8475883.0,Goalie
2019020238,129,Goal,"Alex Ovechkin (12) Wrist Shot, assists: Evgeny Kuznetsov (7), John Carlson (17)",2,06:13,REGULAR,3,2,72.0,19.0,8471214,Scorer,8475744,Assist,8474590.0,Assist,8475683.0,Goalie
2019020238,165,Goal,"Alex Ovechkin (13) Tip-In, assists: Dmitry Orlov (6), Nicklas Backstrom (11)",2,12:14,REGULAR,3,3,71.0,30.0,8471214,Scorer,8475200,Assist,8473563.0,Assist,8475683.0,Goalie
2019020296,271,Goal,"Alex Ovechkin (14) Snap Shot, assists: John Carlson (23), Nicklas Backstrom (12)",3,05:34,REGULAR,1,4,53.0,24.0,8471214,Scorer,8474590,Assist,8473563.0,Assist,8471679.0,Goalie
2019020316,143,Goal,"Alex Ovechkin (15) Wrist Shot, assists: Evgeny Kuznetsov (12), John Carlson (25)",2,06:39,REGULAR,2,0,70.0,22.0,8471214,Scorer,8475744,Assist,8474590.0,Assist,8476434.0,Goalie
2019020383,79,Goal,"Alex Ovechkin (16) Wrist Shot, assists: Evgeny Kuznetsov (13)",1,17:57,REGULAR,1,0,69.0,-4.0,8471214,Scorer,8475744,Assist,8475683.0,Goalie,0.0,0
2019020398,309,Goal,"Alex Ovechkin (17) Slap Shot, assists: Dmitry Orlov (8), Travis Boyd (6)",3,11:36,REGULAR,3,3,55.0,28.0,8471214,Scorer,8475200,Assist,8476329.0,Assist,8476883.0,Goalie
2019020406,146,Goal,"Alex Ovechkin (18) Wrist Shot, assists: John Carlson (29), Evgeny Kuznetsov (16)",2,09:21,REGULAR,1,2,80.0,15.0,8471214,Scorer,8474590,Assist,8475744.0,Assist,8473541.0,Goalie
2019020406,286,Goal,"Alex Ovechkin (19) Snap Shot, assists: T.J. Oshie (9), Radko Gudas (7)",3,18:25,REGULAR,2,4,81.0,1.0,8471214,Scorer,8471698,Assist,8475462.0,Assist,0.0,0
2019020406,293,Goal,"Alex Ovechkin (20) Wrist Shot, assists: none",3,19:05,REGULAR,2,5,80.0,0.0,8471214,Scorer,0,0,0.0,0,0.0,0
2019020469,247,Goal,"Alex Ovechkin (21) Backhand, assists: Dmitry Orlov (11), Nicklas Backstrom (15)",3,00:40,REGULAR,1,2,78.0,-5.0,8471214,Scorer,8475200,Assist,8473563.0,Assist,8476914.0,Goalie
2019020002,66,Goal,"Alex Ovechkin (1) Snap Shot, assists: John Carlson (1), Lars Eller (1)",1,15:37,REGULAR,2,1,57.0,-18.0,8471214,Scorer,8474590,Assist,8474189.0,Assist,8476412.0,Goalie
2019020052,124,Goal,"Alex Ovechkin (2) Slap Shot, assists: John Carlson (6), Evgeny Kuznetsov (1)",2,04:46,REGULAR,1,2,53.0,22.0,8471214,Scorer,8474590,Assist,8475744.0,Assist,8471469.0,Goalie
2019020052,183,Goal,"Alex Ovechkin (3) Slap Shot, assists: John Carlson (7), Nicklas Backstrom (3)",2,17:36,REGULAR,2,4,60.0,20.0,8471214,Scorer,8474590,Assist,8473563.0,Assist,8471469.0,Goalie
2019020070,326,Goal,"Alex Ovechkin (4) Backhand, assists: Tom Wilson (2)",3,19:03,REGULAR,1,4,4.0,-34.0,8471214,Scorer,8476880,Assist,0.0,0,0.0,0
2019020083,312,Goal,"Alex Ovechkin (5) Slap Shot, assists: Evgeny Kuznetsov (3), John Carlson (9)",3,17:39,REGULAR,3,5,34.0,-7.0,8471214,Scorer,8475744,Assist,8474590.0,Assist,8475831.0,Goalie
2019020126,247,Goal,"Alex Ovechkin (6) Wrist Shot, assists: John Carlson (15), Michal Kempny (1)",3,03:52,REGULAR,1,3,61.0,10.0,8471214,Scorer,8474590,Assist,8479482.0,Assist,8470645.0,Goalie
2019020142,195,Goal,"Alex Ovechkin (7) Snap Shot, assists: Nicklas Backstrom (7), Radko Gudas (3)",2,16:35,REGULAR,2,3,63.0,19.0,8471214,Scorer,8473563,Assist,8475462.0,Assist,8475660.0,Goalie
2019020154,155,Goal,"Alex Ovechkin (8) Tip-In, assists: Jonas Siegenthaler (2), John Carlson (16)",2,06:27,REGULAR,1,2,68.0,11.0,8471214,Scorer,8478399,Assist,8474590.0,Assist,8475156.0,Goalie
2019020154,197,Goal,"Alex Ovechkin (9) Snap Shot, assists: Tom Wilson (3), Jakub Vrana (3)",2,13:40,REGULAR,1,3,73.0,13.0,8471214,Scorer,8476880,Assist,8477944.0,Assist,8475156.0,Goalie
2019020180,242,Goal,"Alex Ovechkin (10) Snap Shot, assists: T.J. Oshie (4), Nicklas Backstrom (10)",3,04:10,REGULAR,3,3,81.0,8.0,8471214,Scorer,8471698,Assist,8473563.0,Assist,8475883.0,Goalie
2019020180,353,Goal,"Alex Ovechkin (11) Slap Shot, assists: Dmitry Orlov (5), Jakub Vrana (5)",4,04:00,OVERTIME,3,4,57.0,23.0,8471214,Scorer,8475200,Assist,8477944.0,Assist,8475883.0,Goalie
2019020238,129,Goal,"Alex Ovechkin (12) Wrist Shot, assists: Evgeny Kuznetsov (7), John Carlson (17)",2,06:13,REGULAR,3,2,72.0,19.0,8471214,Scorer,8475744,Assist,8474590.0,Assist,8475683.0,Goalie
2019020238,165,Goal,"Alex Ovechkin (13) Tip-In, assists: Dmitry Orlov (6), Nicklas Backstrom (11)",2,12:14,REGULAR,3,3,71.0,30.0,8471214,Scorer,8475200,Assist,8473563.0,Assist,8475683.0,Goalie
2019020296,271,Goal,"Alex Ovechkin (14) Snap Shot, assists: John Carlson (23), Nicklas Backstrom (12)",3,05:34,REGULAR,1,4,53.0,24.0,8471214,Scorer,8474590,Assist,8473563.0,Assist,8471679.0,Goalie
2019020316,143,Goal,"Alex Ovechkin (15) Wrist Shot, assists: Evgeny Kuznetsov (12), John Carlson (25)",2,06:39,REGULAR,2,0,70.0,22.0,8471214,Scorer,8475744,Assist,8474590.0,Assist,8476434.0,Goalie
2019020383,79,Goal,"Alex Ovechkin (16) Wrist Shot, assists: Evgeny Kuznetsov (13)",1,17:57,REGULAR,1,0,69.0,-4.0,8471214,Scorer,8475744,Assist,8475683.0,Goalie,0.0,0
2019020398,309,Goal,"Alex Ovechkin (17) Slap Shot, assists: Dmitry Orlov (8), Travis Boyd (6)",3,11:36,REGULAR,3,3,55.0,28.0,8471214,Scorer,8475200,Assist,8476329.0,Assist,8476883.0,Goalie
2019020406,146,Goal,"Alex Ovechkin (18) Wrist Shot, assists: John Carlson (29), Evgeny Kuznetsov (16)",2,09:21,REGULAR,1,2,80.0,15.0,8471214,Scorer,8474590,Assist,8475744.0,Assist,8473541.0,Goalie
2019020406,286,Goal,"Alex Ovechkin (19) Snap Shot, assists: T.J. Oshie (9), Radko Gudas (7)",3,18:25,REGULAR,2,4,81.0,1.0,8471214,Scorer,8471698,Assist,8475462.0,Assist,0.0,0
2019020406,293,Goal,"Alex Ovechkin (20) Wrist Shot, assists: none",3,19:05,REGULAR,2,5,80.0,0.0,8471214,Scorer,0,0,0.0,0,0.0,0
2019020469,247,Goal,"Alex Ovechkin (21) Backhand, assists: Dmitry Orlov (11), Nicklas Backstrom (15)",3,00:40,REGULAR,1,2,78.0,-5.0,8471214,Scorer,8475200,Assist,8473563.0,Assist,8476914.0,Goalie
2019020002,66,Goal,"Alex Ovechkin (1) Snap Shot, assists: John Carlson (1), Lars Eller (1)",1,15:37,REGULAR,2,1,57.0,-18.0,8471214,Scorer,8474590,Assist,8474189.0,Assist,8476412.0,Goalie
2019020052,124,Goal,"Alex Ovechkin (2) Slap Shot, assists: John Carlson (6), Evgeny Kuznetsov (1)",2,04:46,REGULAR,1,2,53.0,22.0,8471214,Scorer,8474590,Assist,8475744.0,Assist,8471469.0,Goalie
2019020052,183,Goal,"Alex Ovechkin (3) Slap Shot, assists: John Carlson (7), Nicklas Backstrom (3)",2,17:36,REGULAR,2,4,60.0,20.0,8471214,Scorer,8474590,Assist,8473563.0,Assist,8471469.0,Goalie
2019020070,326,Goal,"Alex Ovechkin (4) Backhand, assists: Tom Wilson (2)",3,19:03,REGULAR,1,4,4.0,-34.0,8471214,Scorer,8476880,Assist,0.0,0,0.0,0
2019020083,312,Goal,"Alex Ovechkin (5) Slap Shot, assists: Evgeny Kuznetsov (3), John Carlson (9)",3,17:39,REGULAR,3,5,34.0,-7.0,8471214,Scorer,8475744,Assist,8474590.0,Assist,8475831.0,Goalie
2019020126,247,Goal,"Alex Ovechkin (6) Wrist Shot, assists: John Carlson (15), Michal Kempny (1)",3,03:52,REGULAR,1,3,61.0,10.0,8471214,Scorer,8474590,Assist,8479482.0,Assist,8470645.0,Goalie
2019020142,195,Goal,"Alex Ovechkin (7) Snap Shot, assists: Nicklas Backstrom (7), Radko Gudas (3)",2,16:35,REGULAR,2,3,63.0,19.0,8471214,Scorer,8473563,Assist,8475462.0,Assist,8475660.0,Goalie
2019020154,155,Goal,"Alex Ovechkin (8) Tip-In, assists: Jonas Siegenthaler (2), John Carlson (16)",2,06:27,REGULAR,1,2,68.0,11.0,8471214,Scorer,8478399,Assist,8474590.0,Assist,8475156.0,Goalie
2019020154,197,Goal,"Alex Ovechkin (9) Snap Shot, assists: Tom Wilson (3), Jakub Vrana (3)",2,13:40,REGULAR,1,3,73.0,13.0,8471214,Scorer,8476880,Assist,8477944.0,Assist,8475156.0,Goalie
2019020180,242,Goal,"Alex Ovechkin (10) Snap Shot, assists: T.J. Oshie (4), Nicklas Backstrom (10)",3,04:10,REGULAR,3,3,81.0,8.0,8471214,Scorer,8471698,Assist,8473563.0,Assist,8475883.0,Goalie
2019020180,353,Goal,"Alex Ovechkin (11) Slap Shot, assists: Dmitry Orlov (5), Jakub Vrana (5)",4,04:00,OVERTIME,3,4,57.0,23.0,8471214,Scorer,8475200,Assist,8477944.0,Assist,8475883.0,Goalie
2019020238,129,Goal,"Alex Ovechkin (12) Wrist Shot, assists: Evgeny Kuznetsov (7), John Carlson (17)",2,06:13,REGULAR,3,2,72.0,19.0,8471214,Scorer,8475744,Assist,8474590.0,Assist,8475683.0,Goalie
